episode,time,reward,epsilon,steps,reason
1,47.7417,0.0000,0.0200,3370,fell
2,1.6717,0.0000,0.0200,118,fell
3,1.8417,0.0000,0.0200,130,fell
4,13.2742,0.0000,0.0200,937,fell
5,12.6225,0.0000,0.0200,891,fell
6,11.0500,0.0000,0.0200,780,fell
7,10.7525,0.0000,0.0200,759,fell
8,2.2242,0.0000,0.0200,157,fell
9,1.7142,0.0000,0.0200,121,fell
10,1.5583,0.0000,0.0200,110,fell
11,13.3875,0.0000,0.0200,945,fell
12,13.0900,0.0000,0.0200,924,fell
13,13.0050,0.0000,0.0200,918,fell
14,2.3800,0.0000,0.0200,168,fell
15,2.3092,0.0000,0.0200,163,fell
16,1.7567,0.0000,0.0200,124,fell
17,5.9217,0.0000,0.0200,418,fell
18,23.4883,0.0000,0.0200,1658,fell
19,14.1667,0.0000,0.0200,1000,fell
20,1.8275,0.0000,0.0200,129,fell
21,29.3392,0.0000,0.0200,2071,fell
22,14.7900,0.0000,0.0200,1044,fell
23,2.3092,0.0000,0.0200,163,fell
24,14.8608,0.0000,0.0200,1049,fell
25,20.4283,0.0000,0.0200,1442,fell
26,17.9208,0.0000,0.0200,1265,fell
27,15.8808,0.0000,0.0200,1121,fell
28,15.1583,0.0000,0.0200,1070,fell
29,10.9225,0.0000,0.0200,771,fell
30,11.7583,0.0000,0.0200,830,fell
31,1.6575,0.0000,0.0200,117,fell
32,13.7983,0.0000,0.0200,974,fell
33,1.6717,0.0000,0.0200,118,fell
34,1.6008,0.0000,0.0200,113,fell
35,11.4892,0.0000,0.0200,811,fell
36,13.3167,0.0000,0.0200,940,fell
37,10.6533,0.0000,0.0200,752,fell
38,2.4367,0.0000,0.0200,172,fell
39,41.2817,1733.2125,0.0200,2914,exit
40,15.6117,5.8137,0.0200,1102,fell
41,2.4792,5.8137,0.0200,175,fell
42,1.7567,5.8137,0.0200,124,fell
43,18.6150,5.8137,0.0200,1314,fell
44,15.3283,5.8137,0.0200,1082,fell
45,3.6692,5.8137,0.0200,259,fell
46,10.7383,5.8137,0.0200,758,fell
47,17.9350,1525.3642,0.0200,1266,exit
48,16.0792,13.3817,0.0200,1135,fell
49,1.7850,13.3817,0.0200,126,fell
50,13.7983,13.3817,0.0200,974,fell
51,3.0883,13.3817,0.0200,218,fell
52,13.6283,13.3817,0.0200,962,fell
53,1.7992,13.3817,0.0200,127,fell
54,13.9258,13.3817,0.0200,983,fell
55,3.0883,13.3817,0.0200,218,fell
56,16.4617,13.3817,0.0200,1162,fell
57,14.5917,13.3817,0.0200,1030,fell
58,15.7958,13.3817,0.0200,1115,fell
59,13.5433,13.3817,0.0200,956,fell
60,1.7283,13.3817,0.0200,122,fell
61,11.2058,13.3817,0.0200,791,fell
62,2.7200,13.3817,0.0200,192,fell
63,17.7792,1537.2066,0.0200,1255,exit
64,15.9233,13.4989,0.0200,1124,fell
65,2.6350,13.4989,0.0200,186,fell
66,16.2775,13.4989,0.0200,1149,fell
67,2.6350,13.4989,0.0200,186,fell
68,13.3592,13.4989,0.0200,943,fell
69,2.5075,13.4989,0.0200,177,fell
70,13.6567,13.4989,0.0200,964,fell
71,16.1642,1528.0271,0.0200,1141,exit
72,18.8983,3077.5678,0.0200,1334,exit
73,19.2667,4606.4958,0.0200,1360,exit
74,2.6208,14.8477,0.0200,185,fell
75,18.8417,1570.2927,0.0200,1330,exit
76,14.9458,14.8477,0.0200,1055,fell
77,18.8133,1565.3339,0.0200,1328,exit
78,17.0567,3089.9034,0.0200,1204,exit
79,11.7867,14.8477,0.0200,832,fell
80,2.4367,14.8477,0.0200,172,fell
81,17.2408,1538.0397,0.0200,1217,exit
82,20.0033,3084.0229,0.0200,1412,exit
83,11.3192,14.8477,0.0200,799,fell
84,12.3250,14.8477,0.0200,870,fell
85,2.5075,14.8477,0.0200,177,fell
86,2.3375,14.8477,0.0200,165,fell
87,2.3375,14.8477,0.0200,165,fell
88,17.3400,1534.4643,0.0200,1224,exit
89,2.4225,14.8477,0.0200,171,fell
90,21.5900,14.8477,0.0200,1524,fell
91,2.4225,14.8477,0.0200,171,fell
92,14.3650,14.8477,0.0200,1014,fell
93,2.3517,14.8477,0.0200,166,fell
94,15.6400,14.8477,0.0200,1104,fell
95,13.8125,14.8477,0.0200,975,fell
96,2.3092,14.8477,0.0200,163,fell
97,13.3450,14.8477,0.0200,942,fell
98,2.5642,14.8477,0.0200,181,fell
99,14.7900,14.8477,0.0200,1044,fell
100,2.6350,14.8477,0.0200,186,fell
101,2.8617,14.8477,0.0200,202,fell
102,5.0717,14.8477,0.0200,358,fell
103,20.6692,14.8477,0.0200,1459,fell
104,3.1167,14.8477,0.0200,220,fell
105,1.6575,14.8477,0.0200,117,fell
106,2.4083,14.8477,0.0200,170,fell
107,14.2658,14.8477,0.0200,1007,fell
108,3.0883,14.8477,0.0200,218,fell
109,4.7317,14.8477,0.0200,334,fell
110,13.3025,14.8477,0.0200,939,fell
111,14.3083,14.8477,0.0200,1010,fell
112,15.2292,14.8477,0.0200,1075,fell
113,12.0983,14.8477,0.0200,854,fell
114,2.3092,14.8477,0.0200,163,fell
115,3.2442,14.8477,0.0200,229,fell
116,13.7983,14.8477,0.0200,974,fell
117,13.0333,14.8477,0.0200,920,fell
118,14.0250,14.8477,0.0200,990,fell
119,10.7525,14.8477,0.0200,759,fell
120,2.3092,14.8477,0.0200,163,fell
121,17.8925,1533.3337,0.0200,1263,exit
122,2.4225,14.8477,0.0200,171,fell
123,16.9150,14.8477,0.0200,1194,fell
124,3.9100,14.8477,0.0200,276,fell
125,2.4792,14.8477,0.0200,175,fell
126,16.6317,1532.9191,0.0200,1174,exit
127,17.4958,3051.9925,0.0200,1235,exit
128,2.4933,14.8477,0.0200,176,fell
129,20.0317,1567.7894,0.0200,1414,exit
130,18.4875,3108.8524,0.0200,1305,exit
131,21.0517,4668.4130,0.0200,1486,exit
132,18.1900,6206.3918,0.0200,1284,exit
133,18.9125,7743.2093,0.0200,1335,exit
134,19.9750,9283.0295,0.0200,1410,exit
135,3.3433,14.8477,0.0200,236,fell
136,2.4792,14.8477,0.0200,175,fell
137,2.3233,14.8477,0.0200,164,fell
138,2.3092,14.8477,0.0200,163,fell
139,2.3800,14.8477,0.0200,168,fell
140,2.3092,14.8477,0.0200,163,fell
141,18.5017,1585.4298,0.0200,1306,exit
142,15.7250,3136.6117,0.0200,1110,exit
143,13.0900,15.2623,0.0200,924,fell
144,15.5267,1543.9071,0.0200,1096,exit
145,13.2458,15.4573,0.0200,935,fell
146,12.2825,15.4573,0.0200,867,fell
147,15.2008,1551.8731,0.0200,1073,exit
148,16.0083,3095.1845,0.0200,1130,exit
149,14.8750,15.7886,0.0200,1050,fell
150,15.1583,1541.6169,0.0200,1070,exit
151,15.5692,3084.0262,0.0200,1099,exit
152,13.2458,15.8329,0.0200,935,fell
153,11.2625,15.8329,0.0200,795,fell
154,2.3092,15.8329,0.0200,163,fell
155,2.3092,15.8329,0.0200,163,fell
156,12.3250,15.8329,0.0200,870,fell
157,1.6433,15.8329,0.0200,116,fell
158,14.6483,1546.5368,0.0200,1034,exit
159,1.6433,16.3841,0.0200,116,fell
160,13.3025,16.3841,0.0200,939,fell
161,1.6433,16.3841,0.0200,116,fell
162,13.5150,16.3841,0.0200,954,fell
163,15.3708,1556.5526,0.0200,1085,exit
164,1.6433,16.3841,0.0200,116,fell
165,15.4275,1572.8042,0.0200,1089,exit
166,1.6433,16.3841,0.0200,116,fell
167,12.2400,16.3841,0.0200,864,fell
168,13.6283,16.3841,0.0200,962,fell
169,16.6742,16.3841,0.0200,1177,fell
170,14.7475,1557.5844,0.0200,1041,exit
171,1.6433,16.3841,0.0200,116,fell
172,9.4633,16.3841,0.0200,668,fell
173,1.7283,16.3841,0.0200,122,fell
174,1.5583,16.3841,0.0200,110,fell
175,15.0025,1553.8483,0.0200,1059,exit
176,1.6433,16.3841,0.0200,116,fell
177,1.5583,16.3841,0.0200,110,fell
178,17.7083,16.3841,0.0200,1250,fell
179,2.3375,16.3841,0.0200,165,fell
180,3.8675,16.3841,0.0200,273,fell
181,2.4367,16.3841,0.0200,172,fell
182,2.3092,16.3841,0.0200,163,fell
183,21.0517,16.3841,0.0200,1486,fell
184,14.3792,16.3841,0.0200,1015,fell
185,16.0083,1553.6437,0.0200,1130,exit
186,1.6717,16.3841,0.0200,118,fell
187,14.3933,16.3841,0.0200,1016,fell
188,13.1608,16.3841,0.0200,929,fell
189,1.6008,16.3841,0.0200,113,fell
190,1.5300,16.3841,0.0200,108,fell
191,1.5300,16.3841,0.0200,108,fell
192,20.0175,16.3841,0.0200,1413,fell
193,2.3517,16.3841,0.0200,166,fell
194,2.3092,16.3841,0.0200,163,fell
195,2.3092,16.3841,0.0200,163,fell
196,3.2583,16.3841,0.0200,230,fell
197,3.3433,16.3841,0.0200,236,fell
198,14.2517,16.3841,0.0200,1006,fell
199,10.3983,16.3841,0.0200,734,fell
200,2.5217,16.3841,0.0200,178,fell
201,2.4792,16.3841,0.0200,175,fell
202,3.8958,16.3841,0.0200,275,fell
203,19.7483,1613.1785,0.0200,1394,exit
204,1.7142,16.3841,0.0200,121,fell
205,16.7167,16.3841,0.0200,1180,fell
206,30.5646,16.3841,0.0200,1994,fell
207,2.7271,16.3841,0.0200,185,fell
208,12.9412,16.3841,0.0200,819,fell
209,5.1638,16.3841,0.0200,336,fell
210,2.8758,16.3841,0.0200,203,fell
211,5.8225,16.3841,0.0200,411,fell
212,0.7650,16.3841,0.0200,54,fell
213,120.0058,294.6603,0.0200,8093,timeout
214,19.4933,16.3841,0.0200,1376,fell
215,1.5017,16.3841,0.0200,106,fell
216,12.5800,16.3841,0.0200,888,fell
217,11.8008,16.3841,0.0200,833,fell
218,14.1100,1558.0713,0.0200,996,exit
219,11.9567,17.0092,0.0200,844,fell
220,1.9975,17.0092,0.0200,141,fell
221,1.9267,17.0092,0.0200,136,fell
222,1.6150,17.0092,0.0200,114,fell
223,2.5500,17.0092,0.0200,180,fell
224,15.6400,1578.0093,0.0200,1104,exit
225,2.4225,17.0092,0.0200,171,fell
226,12.6367,17.0092,0.0200,892,fell
227,14.9033,1559.8292,0.0200,1052,exit
228,1.6433,17.0092,0.0200,116,fell
229,2.4792,17.0092,0.0200,175,fell
230,2.5500,17.0092,0.0200,180,fell
231,10.1008,17.0092,0.0200,713,fell
232,1.6575,17.0092,0.0200,117,fell
233,14.7192,1558.5700,0.0200,1039,exit
234,1.6433,17.0092,0.0200,116,fell
235,1.5583,17.0092,0.0200,110,fell
236,10.3133,17.0092,0.0200,728,fell
237,1.5583,17.0092,0.0200,110,fell
238,13.6142,1555.4052,0.0200,961,exit
239,1.6433,17.6287,0.0200,116,fell
240,1.7000,17.6287,0.0200,120,fell
241,1.7142,17.6287,0.0200,121,fell
242,9.3783,17.6287,0.0200,662,fell
243,10.3417,17.6287,0.0200,730,fell
244,34.2267,17.6287,0.0200,2416,fell
245,34.9917,17.6287,0.0200,2470,fell
246,14.9458,1551.5256,0.0200,1055,exit
247,10.3275,17.6287,0.0200,729,fell
248,15.2433,1532.8025,0.0200,1076,exit
249,14.1667,3066.2604,0.0200,1000,exit
250,2.4650,17.6287,0.0200,174,fell
251,14.7758,17.6287,0.0200,1043,fell
252,1.7708,17.6287,0.0200,125,fell
253,1.4875,17.6287,0.0200,105,fell
254,13.2883,17.6287,0.0200,938,fell
255,13.3875,17.6287,0.0200,945,fell
256,2.5925,17.6287,0.0200,183,fell
257,17.3683,1550.5238,0.0200,1226,exit
258,3.4992,17.6287,0.0200,247,fell
259,17.6942,1551.7112,0.0200,1249,exit
260,6.5308,17.6287,0.0200,461,fell
261,3.9667,17.6287,0.0200,280,fell
262,2.3375,17.6287,0.0200,165,fell
1,47.7417,0.0000,0.0200,3370,fell
2,1.6717,0.0000,0.0200,118,fell
3,1.8417,0.0000,0.0200,130,fell
1,47.7417,0.0000,0.0200,3370,fell
2,1.6717,0.0000,0.0200,118,fell
3,1.8417,0.0000,0.0200,130,fell
4,13.2742,0.0000,0.0200,937,fell
5,12.6225,0.0000,0.0200,891,fell
6,11.0500,0.0000,0.0200,780,fell
7,10.7525,0.0000,0.0200,759,fell
8,2.2242,0.0000,0.0200,157,fell
9,1.7142,0.0000,0.0200,121,fell
10,1.5583,0.0000,0.0200,110,fell
11,13.3875,0.0000,0.0200,945,fell
12,13.0900,0.0000,0.0200,924,fell
13,13.0050,0.0000,0.0200,918,fell
14,2.3800,0.0000,0.0200,168,fell
15,2.3092,0.0000,0.0200,163,fell
16,1.7567,0.0000,0.0200,124,fell
17,5.9217,0.0000,0.0200,418,fell
18,23.4883,0.0000,0.0200,1658,fell
19,14.1667,0.0000,0.0200,1000,fell
20,1.8275,0.0000,0.0200,129,fell
21,29.3392,0.0000,0.0200,2071,fell
22,14.7900,0.0000,0.0200,1044,fell
23,2.3092,0.0000,0.0200,163,fell
24,14.8608,0.0000,0.0200,1049,fell
25,20.4283,0.0000,0.0200,1442,fell
26,17.9208,0.0000,0.0200,1265,fell
27,15.8808,0.0000,0.0200,1121,fell
28,15.1583,0.0000,0.0200,1070,fell
29,10.9225,0.0000,0.0200,771,fell
30,11.7583,0.0000,0.0200,830,fell
31,1.6575,0.0000,0.0200,117,fell
32,13.7983,0.0000,0.0200,974,fell
33,1.6717,0.0000,0.0200,118,fell
34,1.6008,0.0000,0.0200,113,fell
1,48.5208,0.0000,0.0200,3425,fell
2,1.7142,0.0000,0.0200,121,fell
3,1.6292,0.0000,0.0200,115,fell
4,2.0542,0.0000,0.0200,145,fell
5,1.5583,0.0000,0.0200,110,fell
6,12.7500,0.0000,0.0200,900,fell
7,1.5583,0.0000,0.0200,110,fell
8,2.3092,0.0000,0.0200,163,fell
9,1.7283,0.0000,0.0200,122,fell
10,18.4875,0.0000,0.0200,1305,fell
11,14.4783,0.0000,0.0200,1022,fell
12,1.6008,0.0000,0.0200,113,fell
13,12.5092,0.0000,0.0200,883,fell
14,1.7283,0.0000,0.0200,122,fell
15,3.0883,0.0000,0.0200,218,fell
16,1.7283,0.0000,0.0200,122,fell
17,9.8175,0.0000,0.0200,693,fell
18,1.7283,0.0000,0.0200,122,fell
19,11.8008,0.0000,0.0200,833,fell
20,1.7992,0.0000,0.0200,127,fell
21,1.7708,0.0000,0.0200,125,fell
22,2.3092,0.0000,0.0200,163,fell
23,1.7283,0.0000,0.0200,122,fell
24,17.6092,0.0000,0.0200,1243,fell
25,1.7283,0.0000,0.0200,122,fell
26,15.2717,0.0000,0.0200,1078,fell
27,15.2858,0.0000,0.0200,1079,fell
28,13.5008,0.0000,0.0200,953,fell
29,12.0133,0.0000,0.0200,848,fell
